start,end
369.040,369.060
369.120,369.130
369.220,369.320
369.360,369.380
369.580,369.600
372.240,372.280
373.020,373.040
373.770,373.800
375.230,375.250
375.410,375.440
376.250,376.280
377.150,377.190
377.720,377.760
379.590,379.610
379.680,379.700
380.010,380.030
380.730,380.750
382.190,382.200
386.170,386.200
386.960,386.990
387.160,387.190
387.540,387.580
389.360,389.380
390.730,390.750
391.470,391.490
391.710,391.720
392.210,392.230
392.270,392.290
392.330,392.360
393.440,393.450
394.300,394.350
395.110,395.130
396.100,396.120
397.380,397.400
398.310,398.350
398.420,398.430
398.450,398.470
398.490,398.510
398.550,398.580
398.640,398.680
398.690,398.720
398.730,398.760
398.770,398.790
398.860,398.910
398.920,398.940
398.970,398.990
399.000,399.030
399.140,399.180
399.630,399.650
399.940,399.960
400.580,400.600
400.840,400.890
401.550,401.590
401.900,401.930
404.040,404.060
405.060,405.080
405.320,405.330
406.120,406.150
406.220,406.240
406.730,406.740
408.010,408.040
409.510,409.550
409.610,409.630
409.720,409.760
409.850,409.870
410.090,410.140
410.270,410.300
410.650,410.680
411.430,411.460
411.600,411.650
411.730,411.770
413.850,413.870
416.520,416.560
416.910,416.940
416.960,416.990
417.000,417.040
417.360,417.370
417.670,417.690
417.810,417.830
420.160,420.180
421.400,421.420
422.180,422.200
422.520,422.540
422.770,422.790
423.180,423.210
423.720,423.740
425.800,425.840
426.200,426.220
427.120,427.130
432.350,432.360
434.460,434.470
434.510,434.530
435.320,435.340
435.510,435.540
435.600,435.620
435.820,435.850
435.930,435.970
436.430,436.450
436.520,436.530
438.060,438.090
438.370,438.390
438.760,438.790
439.260,439.300
439.480,439.490
439.760,439.780
441.740,441.760
442.120,442.140
442.410,442.430
442.500,442.520
442.550,442.570
442.650,442.670
442.830,442.850
442.960,442.980
443.000,443.030
443.200,443.240
443.480,443.520
443.950,443.980
445.070,445.090
446.960,446.980
448.880,448.920
449.110,449.130
449.310,449.330
449.610,449.640
449.780,449.820
450.760,450.780
453.030,453.050
453.150,453.170
456.110,456.130
456.140,456.160
456.180,456.200
456.260,456.280
456.940,456.950
457.170,457.180
457.260,457.280
457.310,457.320
458.040,458.060
458.140,458.170
458.410,458.440
458.650,458.690
459.350,459.370
459.730,459.740
462.940,462.970
463.240,463.250
465.140,465.170
465.180,465.190
465.300,465.320
465.400,465.420
465.440,465.470
466.300,466.320
466.470,466.490
466.900,466.930
467.250,467.270
467.430,467.500
467.550,467.560
467.680,467.720
467.860,467.880
468.310,468.330
470.020,470.040
470.060,470.080
470.380,470.400
470.410,470.440
470.590,470.610
471.410,471.420
474.080,474.100
474.120,474.160
474.200,474.230
474.320,474.350
474.750,474.780
474.880,474.910
474.990,475.030
476.030,476.060
476.230,476.260
477.880,477.920
478.250,478.260
481.210,481.220
482.540,482.570
482.650,482.670
483.460,483.480
485.260,485.300
486.130,486.160
486.410,486.430
486.930,486.950
487.210,487.220
487.750,487.770
488.270,488.290
488.500,488.520
488.710,488.740
492.210,492.250
492.570,492.590
493.660,493.680
496.000,496.030
496.430,496.460
498.120,498.150
498.490,498.510
498.690,498.710
498.930,498.950
499.360,499.380
499.860,499.880
500.680,500.710
501.880,501.900
504.270,504.300
504.390,504.420
505.240,505.290
505.310,505.350
505.440,505.470
505.860,505.890
506.050,506.080
506.910,506.920
511.160,511.180
512.290,512.340
512.380,512.400
512.540,512.570
512.590,512.620
512.670,512.710
512.890,512.920
512.950,512.960
513.040,513.070
513.190,513.210
513.290,513.320
513.540,513.570
513.700,513.730
513.880,513.900
515.780,515.810
516.090,516.110
516.130,516.140
516.250,516.280
516.430,516.470
516.570,516.590
518.230,518.240
518.690,518.730
519.160,519.170
519.330,519.360
519.530,519.580
520.390,520.400
521.860,521.870
524.570,524.590
525.460,525.480
525.580,525.600
526.020,526.050
526.080,526.100
526.150,526.160
526.360,526.380
526.460,526.480
526.980,527.020
527.330,527.340
527.510,527.520
530.100,530.120
538.060,538.080
538.100,538.130
538.160,538.220
538.650,538.700
538.730,538.750
538.850,538.870
539.120,539.160
539.210,539.250
539.550,539.570
542.890,542.920
542.990,543.040
543.070,543.120
543.240,543.280
543.330,543.370
543.400,543.420
544.010,544.040
546.140,546.150
546.630,546.640
547.920,547.940
548.000,548.120
548.140,548.190
548.230,548.270
548.320,548.350
548.360,548.400
548.420,548.470
548.500,548.570
548.870,548.900
550.430,550.450
552.970,552.980
553.080,553.090
554.750,554.760
554.950,554.960
555.330,555.340
555.370,555.400
555.910,555.930
556.460,556.500
556.510,556.530
557.470,557.490
557.550,557.570
557.640,557.680
558.140,558.150
558.610,558.640
558.830,558.850
559.400,559.410
559.670,559.710
560.220,560.280
560.380,560.430
560.480,560.500
560.540,560.690
560.730,560.760
561.440,561.520
561.580,561.620
561.680,561.710
562.530,562.550
562.660,562.680
563.680,563.710
563.740,563.770
565.020,565.030
565.790,565.800
567.460,567.480
567.680,567.700
568.240,568.300
568.730,568.750
568.840,568.870
569.200,569.220
570.980,570.990
571.120,571.140
571.250,571.280
571.320,571.370
572.010,572.110
572.120,572.180
572.190,572.230
572.240,572.330
572.360,572.390
572.430,572.460
572.490,572.530
572.820,572.850
573.060,573.080
573.090,573.180
573.710,573.740
573.750,573.800
573.830,573.850
573.930,573.950
577.160,577.180
577.660,577.680
578.770,578.830
578.850,578.890
578.980,579.010
579.040,579.070
584.490,584.500
585.430,585.460
585.640,585.650
586.740,586.750
586.810,586.820
587.090,587.110
587.420,587.430
589.950,589.970
590.510,590.540
591.130,591.150
592.570,592.600
592.770,592.810
593.400,593.430
593.550,593.600
593.820,593.860
593.910,593.940
594.040,594.060
594.430,594.450
594.890,594.900
595.250,595.270
595.330,595.360
595.470,595.490
595.640,595.670
596.240,596.270
596.330,596.360
596.450,596.480
597.490,597.510
598.570,598.580
600.340,600.350
602.520,602.560
602.910,602.940
602.960,602.990
603.000,603.040
603.360,603.370
603.670,603.690
603.810,603.830
604.010,604.050
604.310,604.330
604.700,604.730
605.810,605.830
606.070,606.080
607.100,607.140
607.350,607.370
608.360,608.400
608.600,608.630
609.640,609.660
612.220,612.260
612.330,612.350
613.310,613.340
613.460,613.480
613.670,613.690
613.810,613.830
614.940,614.960
615.560,615.580
615.630,615.660
616.110,616.120
616.210,616.240
616.540,616.610
616.730,616.750
616.810,616.820
616.870,616.900
616.970,616.990
617.070,617.150
617.160,617.170
617.300,617.310
617.420,617.430
617.640,617.660
617.780,617.790
618.690,618.710
618.880,618.900
620.220,620.280
620.380,620.430
620.480,620.500
620.540,620.690
620.730,620.760
621.440,621.520
621.580,621.620
621.680,621.710
622.040,622.080
622.110,622.190
622.310,622.370
622.720,622.760
622.820,622.830
622.870,622.890
622.960,622.980
623.000,623.050
623.160,623.190
623.210,623.230
623.810,623.850
624.080,624.100
624.240,624.250
624.390,624.400
624.490,624.510
624.650,624.670
625.030,625.040
625.630,625.650
625.800,625.820
625.960,625.980
626.370,626.380
626.420,626.440
627.670,627.690
627.760,627.780
631.820,631.840
632.050,632.080
632.710,632.730
632.970,633.000
633.430,633.450
634.620,634.640
636.120,636.150
636.220,636.280
636.920,636.940
637.520,637.530
637.790,637.810
637.900,637.920
639.190,639.210
639.240,639.260
639.430,639.470
640.170,640.190
640.260,640.290
641.450,641.490
641.610,641.700
641.830,641.870
642.160,642.200
642.220,642.240
642.270,642.290
642.480,642.510
644.390,644.420
644.580,644.610
645.570,645.610
645.620,645.640
647.300,647.310
649.400,649.420
650.020,650.050
650.610,650.630
650.690,650.700
650.750,650.770
651.000,651.020
651.190,651.210
651.250,651.280
651.650,651.670
651.900,651.940
652.020,652.040
652.360,652.390
652.490,652.530
653.460,653.540
653.560,653.600
653.630,653.650
653.820,653.860
655.680,655.690
656.480,656.510
656.780,656.790
656.960,656.980
657.670,657.680
657.720,657.730
660.260,660.290
660.880,660.890
660.950,660.960
661.260,661.280
661.510,661.530
661.660,661.680
662.120,662.140
662.760,662.780
662.870,662.880
662.940,662.950
663.060,663.080
663.200,663.220
663.510,663.530
663.610,663.620
663.870,663.890
664.100,664.120
665.100,665.120
666.250,666.260
666.510,666.560
666.630,666.690
666.770,666.790
666.800,666.830
667.250,667.280
667.410,667.430
667.520,667.540
667.550,667.600
667.770,667.790
668.070,668.090
668.100,668.130
668.160,668.200
668.790,668.820
668.850,668.900
668.960,668.980
669.330,669.350
669.460,669.500
669.710,669.730
669.850,669.870
670.330,670.360
670.680,670.700
671.620,671.640
674.080,674.110
674.190,674.220
675.980,675.990
677.680,677.690
678.030,678.120
678.150,678.170
678.180,678.390
678.400,678.420
678.440,678.520
678.530,678.660
678.770,678.820
678.840,678.940
678.950,679.000
679.040,679.070
679.170,679.190
679.210,679.280
679.290,679.370
679.400,679.440
679.570,679.660
679.840,679.890
679.970,680.000
680.060,680.090
680.580,680.610
680.650,680.660
681.260,681.290
681.300,681.320
681.570,681.580
682.400,682.420
682.460,682.480
682.750,682.760
684.050,684.070
684.530,684.540
686.660,686.690
688.200,688.230
688.500,688.520
688.940,688.950
688.960,688.990
689.030,689.080
689.300,689.380
689.570,689.630
690.010,690.030
690.480,690.500
691.600,691.620
691.790,691.800
692.930,692.950
694.180,694.200
694.400,694.420
696.030,696.070
696.190,696.210
699.600,699.620
700.040,700.080
700.100,700.160
700.630,700.660
700.710,700.750
700.820,700.850
700.900,700.920
701.220,701.270
701.350,701.370
701.970,702.000
702.020,702.040
702.920,702.950
702.990,703.020
703.190,703.200
703.390,703.420
703.640,703.650
703.770,703.800
703.990,704.000
705.270,705.290
705.530,705.550
705.580,705.590
705.650,705.670
706.390,706.410
707.750,707.760
708.040,708.060
708.130,708.150
708.610,708.630
708.720,708.750
708.880,708.910
708.970,709.010
709.060,709.070
709.210,709.260
709.550,709.580
710.230,710.240
711.150,711.160
711.760,711.780
713.480,713.500
713.820,713.870
714.310,714.320
715.160,715.180
715.230,715.260
715.990,716.000
716.230,716.240
716.260,716.280
716.730,716.760
716.840,716.860
718.560,718.570
720.240,720.290
720.460,720.470
720.780,720.790
721.100,721.120
721.650,721.680
722.010,722.040
722.130,722.170
722.630,722.660
722.710,722.740
723.030,723.060
725.190,725.210
725.240,725.260
725.430,725.470
726.060,726.090
727.650,727.680
728.110,728.120
728.590,728.610
729.490,729.500
731.430,731.460
732.050,732.060
733.130,733.150
734.100,734.130
734.160,734.200
734.220,734.250
734.560,734.590
734.960,734.980
736.850,736.870
736.910,736.930
737.020,737.050
738.200,738.250
738.670,738.690
740.460,740.480
740.720,740.750
740.770,740.780
741.260,741.280
741.360,741.380
741.810,741.840
745.430,745.450
745.470,745.480
746.510,746.540
747.230,747.260
747.380,747.420
747.470,747.500
747.690,747.700
747.750,747.760
747.790,747.820
748.190,748.210
748.330,748.350
749.380,749.400
750.120,750.140
750.940,750.950
751.040,751.050
751.780,751.810
753.760,753.780
754.410,754.430
754.750,754.780
755.160,755.180
755.290,755.310
758.880,758.920
759.110,759.130
759.310,759.330
759.610,759.640
759.780,759.820
761.420,761.430
762.510,762.570
762.610,762.700
763.560,763.590
763.810,763.830
763.840,763.920
763.930,764.000
764.070,764.090
764.110,764.130
764.210,764.220
764.320,764.350
764.360,764.390
764.560,764.590
764.620,764.640
764.670,764.690
764.730,764.740
764.760,764.780
764.850,764.870
765.050,765.070
765.080,765.100
765.140,765.160
765.200,765.220
765.330,765.350
765.410,765.420
766.050,766.070
766.190,766.210
766.610,766.630
767.700,767.720
767.800,767.850
767.910,767.940
767.960,767.980
768.520,768.560
768.930,768.960
769.660,769.670
769.700,769.710
769.730,769.780
769.850,769.870
770.370,770.390
771.720,771.750
771.790,771.810
773.510,773.530
773.570,773.590
773.650,773.670
774.710,774.720
774.770,774.790
775.080,775.110
775.610,775.620
776.200,776.210
776.460,776.480
778.720,778.740
780.200,780.250
780.510,780.560
780.830,780.840
781.040,781.090
781.170,781.190
781.270,781.320
781.340,781.380
781.440,781.460
781.470,781.490
781.550,781.580
781.610,781.680
781.710,781.730
782.900,782.950
783.000,783.070
783.090,783.160
783.440,783.620
783.640,784.000
784.010,784.030
785.660,785.690
786.160,786.200
786.300,786.330
786.360,786.410
786.420,786.450
786.550,786.630
786.690,786.730
786.840,786.900
786.920,787.040
787.050,787.260
787.410,787.440
787.490,787.520
787.790,787.810
789.920,789.940
792.070,792.080
793.850,793.870
794.450,794.470
795.870,795.890
796.730,796.740
797.210,797.230
797.340,797.360
797.550,797.560
799.030,799.050
799.170,799.190
799.460,799.490
799.910,799.930
801.360,801.380
802.570,802.610
802.790,802.810
803.390,803.400
803.470,803.500
803.800,803.820
805.970,805.990
807.770,807.790
807.820,807.830
808.000,808.010
809.400,809.430
809.620,809.640
810.300,810.340
810.760,810.780
811.480,811.520
812.670,812.690
813.320,813.410
813.420,813.470
815.610,815.620
816.110,816.140
816.190,816.220
816.400,816.410
817.140,817.160
818.300,818.330
818.500,818.520
818.830,818.860
820.510,820.530
823.090,823.110
826.430,826.450
828.740,828.770
828.900,828.930
829.270,829.280
830.710,830.730
831.310,831.330
832.990,833.000
833.290,833.310
833.350,833.370
833.400,833.420
833.490,833.530
833.560,833.580
833.590,833.610
833.700,833.720
833.750,833.770
833.790,833.810
833.870,833.890
836.140,836.210
836.570,836.610
836.680,836.780
836.900,836.950
836.970,837.170
837.180,837.400
837.410,837.590
837.790,837.820
841.760,841.780
843.000,843.020
844.300,844.330
845.470,845.500
845.620,845.640
846.100,846.130
846.240,846.260
847.020,847.050
847.200,847.230
848.200,848.240
849.000,849.010
849.330,849.380
849.520,849.540
850.020,850.080
850.150,850.180
850.280,850.390
850.630,850.680
850.860,850.890
851.020,851.050
851.070,851.120
851.140,851.200
851.670,851.700
851.710,851.770
852.060,852.090
852.140,852.190
852.420,852.440
852.570,852.590
852.640,852.680
853.180,853.200
853.210,853.240
853.330,853.380
853.400,853.450
853.620,853.630
853.730,853.750
853.770,853.800
853.870,853.910
853.980,854.000
856.660,856.690
857.890,857.930
858.530,858.550
859.230,859.260
860.420,860.480
861.030,861.070
862.700,862.720
862.780,862.800
862.880,862.910
863.780,863.800
865.960,865.980
866.010,866.030
867.370,867.380
869.940,869.950
870.410,870.440
871.500,871.520
872.010,872.040
872.130,872.170
872.630,872.660
872.710,872.740
873.030,873.060
875.580,875.600
876.070,876.090
876.640,876.650
876.700,876.710
876.730,876.750
876.970,876.990
880.370,880.380
881.830,881.870
882.670,882.690
884.520,884.530
889.850,889.870
889.910,889.930
890.390,890.410
890.850,890.880
891.170,891.240
891.280,891.320
891.730,891.770
893.010,893.020
894.670,894.700
894.950,894.970
895.320,895.340
896.310,896.340
896.440,896.460
898.390,898.420
898.580,898.610
899.570,899.610
899.620,899.640
902.320,902.350
902.650,902.670
902.860,902.880
903.010,903.040
904.020,904.050
904.150,904.180
904.220,904.260
905.210,905.240
906.520,906.540
906.680,906.690
907.380,907.410
907.460,907.470
907.630,907.650
907.780,907.800
908.030,908.060
908.310,908.350
909.640,909.670
909.700,909.740
910.180,910.210
911.600,911.610
913.300,913.320
917.330,917.350
917.750,917.780
918.010,918.040
918.550,918.570
919.190,919.210
919.370,919.410
922.600,922.620
923.820,923.870
923.910,923.980
924.150,924.160
924.700,924.720
925.280,925.300
925.410,925.430
925.460,925.470
925.540,925.550
925.560,925.580
925.610,925.630
925.820,925.840
925.980,926.000
926.830,926.860
928.530,928.540
929.400,929.420
931.110,931.140
936.210,936.260
936.320,936.370
937.260,937.270
937.690,937.720
937.820,937.830
938.520,938.540
939.000,939.020
939.300,939.320
940.590,940.600
942.720,942.750
945.590,945.610
947.530,947.550
948.300,948.330
948.500,948.520
948.850,948.860
949.730,949.750
950.620,950.640
950.700,950.730
951.730,951.760
951.920,951.940
953.760,953.770
956.020,956.040
956.550,956.560
956.930,956.950
958.580,958.600
959.360,959.380
960.880,960.890
961.190,961.220
968.430,968.440
968.950,968.980
969.040,969.060
969.170,969.190
969.300,969.340
970.020,970.040
970.100,970.120
973.900,973.920
975.190,975.210
976.450,976.470
977.870,977.890
978.170,978.180
978.190,978.200
978.810,978.830
979.600,979.620
979.890,979.930
980.780,980.820
980.990,981.020
981.080,981.110
981.520,981.540
981.630,981.680
982.060,982.110
982.280,982.310
982.900,982.930
983.110,983.140
983.470,983.500
983.770,983.810
985.220,985.230
985.260,985.270
986.480,986.500
986.670,986.700
986.800,986.820
987.090,987.130
988.590,988.620
989.480,989.510
989.780,989.790
990.060,990.080
990.190,990.210
990.310,990.330
990.400,990.420
990.630,990.690
990.910,990.950
991.220,991.270
991.380,991.400
991.660,991.670
992.030,992.040
992.870,992.900
993.840,993.870
994.010,994.040
994.080,994.110
995.060,995.080
995.120,995.130
995.380,995.410
995.470,995.480
997.570,997.620
997.630,997.700
997.730,997.780
999.830,999.850
1000.400,1000.430
1001.100,1001.130
1001.750,1001.770
1002.430,1002.460
1002.470,1002.520
1002.660,1002.700
1002.950,1003.010
1003.090,1003.120
1003.280,1003.340
1004.010,1004.030
1004.320,1004.370
1004.650,1004.690
1004.770,1004.790
1005.200,1005.230
1005.250,1005.280
1005.310,1005.340
1005.480,1005.510
1005.560,1005.600
1005.730,1005.760
1005.910,1005.940
1008.060,1008.070
1008.090,1008.120
1008.130,1008.150
1008.180,1008.220
1008.320,1008.350
1008.430,1008.470
1008.480,1008.530
1008.560,1008.590
1008.780,1008.800
1008.840,1008.860
1008.960,1008.970
1009.130,1009.150
1009.300,1009.320
1009.500,1009.520
1009.690,1009.720
1010.070,1010.110
1010.160,1010.190
1010.340,1010.420
1010.980,1010.990
1011.190,1011.210
1011.400,1011.430
1011.650,1011.690
1012.330,1012.340
1012.660,1012.670
1013.210,1013.240
1013.930,1013.950
1013.980,1014.000
1017.230,1017.240
1018.820,1018.830
1021.050,1021.070
1024.100,1024.130
1024.190,1024.210
1024.250,1024.270
1024.550,1024.570
1024.580,1024.590
1024.690,1024.710
1024.770,1024.800
1024.830,1024.840
1024.860,1024.880
1024.890,1024.900
1024.930,1024.980
1025.010,1025.020
1025.250,1025.270
1025.330,1025.350
1025.460,1025.480
1025.510,1025.520
1025.610,1025.640
1026.020,1026.040
1026.810,1026.850
1026.890,1026.940
1026.970,1027.010
1027.050,1027.110
1027.150,1027.200
1027.510,1027.570
1027.840,1027.900
1028.110,1028.130
1028.460,1028.470
1030.700,1030.720
1035.010,1035.020
1035.250,1035.280
1035.840,1035.870
1036.530,1036.540
1037.070,1037.080
1037.650,1037.670
1042.520,1042.540
1043.140,1043.160
1045.650,1045.690
1045.780,1045.830
1045.840,1045.920
1046.220,1046.230
1047.350,1047.380
1048.020,1048.040
1048.180,1048.200
1048.270,1048.300
1048.620,1048.640
1048.700,1048.720
1048.990,1049.010
1049.440,1049.450
1049.490,1049.510
1049.620,1049.630
1049.670,1049.690
1049.710,1049.740
1049.760,1049.770
1049.810,1049.820
1049.830,1049.860
1049.880,1049.900
1049.910,1049.930
1052.220,1052.230
1052.250,1052.270
1054.830,1054.840
1055.260,1055.280
1057.430,1057.450
1058.270,1058.310
